id,semantic tag,etymon id,language,part of speech,word (source spelling),word (practical orthography),word (ipa),english definition,spanish definition,source,page number,full original entry,alternate forms,other,editors
KCHOTLN1,PW_EL,KAUETYMON2628,K'iche',noun,Cabrakan,Kab'raqan,,earthquake,temblor,VKO,37r,Cabrakan. el temblor de tierra. pa cab|rakan yn 4ovi rumal ri xinbano. | temblando estoy p{o}r lo que hize. quin|birbotic. estoy tiritando. quinbir|bot rumal teuɧ. estoi tiritando de | frio. cababir. dos años antes.,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN2,FD_HO,KAUETYMON1255,K'iche',noun,Cab,Kab',,honey,miel,VKO,37r,"Cab. miel. vchicopil cab. la aveja. d[e] este | nombre sale vn beruo neutro. ale|grarse, olgarse. y al cab. se le añade | cot. v{erbi}g{raci}a. cabcot. cacabcot. se ale|gra. y lo mismo de qui. lo dulçe. se | le añade cot, y forma quicot. caqui|cot. compulssiuo cabcotiriçaɧ. canu. | hazer que se alegre. nim vcabcotem. | nim vquicotem. grande alegria. | forma otro cabcotinel. alegre re|gosijado. quicotinel. cabcotinel. | el que alegra, y regosija. otro neutro | cacabcotilanic. cacabcotilabic. | caquicot 34 nu4ux. mayɧ qui|[37v]cotem nuchahin vԑuçil nu4ux.",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLV1,TI_DA,KAUETYMON2998,K'iche',adverb,Cabih,Kab'ij,,the day after tomorrow,pasado mañana,VKO,37r,Cabiɧ. pasando35 mañana. cabahir. p{o}r | ante ayer. hucabiɧ xuban pa xi|mobal ha. estuuo en la carzel hasta | el terçer dia. hucabiɧ. hunvca|biɧ.,kaab'iij,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLE1,LM_LG,,K'iche',noun,Cabichal,Kab'ichal ,,(plurality),(pluralidad),VKO,37r,"Cabichal. significa pluralidad. v|cabichal. los dos juntos. p{ar}a cosas | ynanimadas el vcabichal. p{ar}a co|sas animadas. como hombres, ô â|nimales. quicabichal vinak. qui|cabichal quieɧ. ambas a dos perso|nas, o bestias. kacabichal. no|sotros juntos. ycabichal. vosotros | juntos. quicabichal vinak. cabuɧ. | canucabuɧ vchi. purificar.",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN3,QN_NN,KAUETYMON3019,K'iche',numeral,Cablahuh,Kab'lajuj,,twelve,doce,VKO,37r,Cablahuɧ. doze. cablavaheɧ. | de aqui a dose dias. cablaua|heher. dose dias â. cablaɧ chi hu|nab. dosçientos y quarenta años. ,kab'lajuuj ,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLP1,,,K'iche',intransitive verbal suffix,Ca,Ka,,neutral verbal particle,particula verbal de neutro,VKO,38r,"Ca. particula verbal de neutro.|y la piedra de moler, o la muela diente. [38r] ",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN4,PW_SK,KAUETYMON857,K'iche',noun,Cah ,Kaj,,sky,cielo,VKO,38r,"Caɧ. el çielo. xe caɧ, el mundo. 4aɧ. | la harina. ",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN5,PW_WI,KAUETYMON2676,K'iche',noun,Cakçutcum,Kaqsutkum,,whirlwind,remolino,VKO,38r,Ca4a4houɧ ronohel nubakel. me | duelen todos los guesos. ,Sutk'um,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN6,FD_FD,KAUETYMON2472,K'iche',noun,Ca4h,Kach',,chewing gum,"chapapo, chicle, goma de mascar",VKO,38r,Ca4h. lo que mascan las mug{ere}s. chapapo. | vca4h quieɧ. el freno. canuca4huɧ. | lo masco. ,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN7,FD_GR,KAUETYMON1880,K'iche',noun,Caa,Ka',,"metate, grinding stone","piedra de moler, metate",VKO,38r,Caa. la piedra de moler. {ve}l. ca. pro|nombre de plural. cachahil. ,kaa',,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
